CustomerID,Recency,Frequency,Monetary,ReturnRate,Cluster,Segment
12346.0,326,12.0,368.3600000000006,0.05555555555555555,0,Sleeping Dogs
12347.0,2,8.0,5633.32,0.0,1,Loyal/Champions
12348.0,75,5.0,1658.4,0.0,1,Loyal/Champions
12349.0,19,3.0,3654.54,0.02824858757062147,1,Loyal/Champions
12350.0,310,1.0,294.4,0.0,0,Sleeping Dogs
12351.0,375,1.0,300.93,0.0,0,Sleeping Dogs
12352.0,36,9.0,1609.21,0.06862745098039216,1,Loyal/Champions
12353.0,204,2.0,406.76,0.0,0,Sleeping Dogs
12354.0,232,1.0,1079.4,0.0,0,Sleeping Dogs
12355.0,214,2.0,947.61,0.0,0,Sleeping Dogs
12356.0,23,6.0,5613.68,0.0,1,Loyal/Champions
12357.0,33,2.0,17437.66,0.0,1,Loyal/Champions
12358.0,2,5.0,3447.07,0.0,1,Loyal/Champions
12359.0,8,10.0,8714.89,0.02666666666666667,1,Loyal/Champions
12360.0,52,6.0,3612.89,0.0,1,Loyal/Champions
12361.0,287,4.0,451.25,0.0,0,Sleeping Dogs
12362.0,3,10.0,4665.58,0.030303030303030304,1,Loyal/Champions
12363.0,110,2.0,552.0,0.0,0,Sleeping Dogs
12364.0,8,4.0,1208.1,0.0,1,Loyal/Champions
12365.0,291,1.0,320.69,0.0,0,Sleeping Dogs
12366.0,634,1.0,500.24,0.0,0,Sleeping Dogs
12367.0,4,1.0,150.9,0.0,0,Sleeping Dogs
12368.0,628,1.0,917.7,0.0,0,Sleeping Dogs
12369.0,413,3.0,1511.15,0.0,0,Sleeping Dogs
12370.0,51,7.0,3960.31,0.0,1,Loyal/Champions
12371.0,60,4.0,3347.38,0.0,1,Loyal/Champions
12372.0,72,3.0,1196.04,0.0,0,Sleeping Dogs
12373.0,311,3.0,927.65,0.0,0,Sleeping Dogs
12374.0,25,3.0,2669.22,0.0,1,Loyal/Champions
12375.0,3,2.0,375.42,0.0625,1,Loyal/Champions
12376.0,390,2.0,383.15,0.0,0,Sleeping Dogs
12377.0,315,4.0,3266.32,0.0,0,Sleeping Dogs
12378.0,130,2.0,5416.32,0.0,0,Sleeping Dogs
12379.0,82,4.0,1468.27,0.01282051282051282,0,Sleeping Dogs
12380.0,22,8.0,7171.0,0.014760147601476014,1,Loyal/Champions
12381.0,5,3.0,1433.46,0.046511627906976744,1,Loyal/Champions
12383.0,185,5.0,1617.31,0.010526315789473684,0,Sleeping Dogs
12384.0,29,2.0,406.16,0.10714285714285714,0,Sleeping Dogs
12385.0,379,1.0,1668.4,0.0,0,Sleeping Dogs
12386.0,338,2.0,660.8,0.0,0,Sleeping Dogs
12387.0,415,1.0,143.94,0.0,0,Sleeping Dogs
12388.0,16,8.0,3901.11,0.0,1,Loyal/Champions
12389.0,403,3.0,1433.33,0.0,0,Sleeping Dogs
12390.0,80,1.0,504.84,0.0,0,Sleeping Dogs
12391.0,22,6.0,2747.82,0.020905923344947737,1,Loyal/Champions
12392.0,591,1.0,234.75,0.0,0,Sleeping Dogs
12393.0,72,6.0,2376.75,0.044642857142857144,1,Loyal/Champions
12394.0,64,2.0,1080.48,0.0,0,Sleeping Dogs
12395.0,16,15.0,4530.92,0.012448132780082987,1,Loyal/Champions
12396.0,674,1.0,931.43,0.0,0,Sleeping Dogs
12397.0,36,2.0,2214.9,0.0,0,Sleeping Dogs
12398.0,46,1.0,1435.66,0.0,0,Sleeping Dogs
12399.0,119,7.0,1842.3,0.0,1,Loyal/Champions
12400.0,414,1.0,205.25,0.0,0,Sleeping Dogs
12401.0,303,1.0,69.3,0.0,0,Sleeping Dogs
12402.0,323,6.0,1124.15,0.015384615384615385,0,Sleeping Dogs
12403.0,50,2.0,947.36,0.0,0,Sleeping Dogs
12405.0,149,1.0,1390.3899999999999,0.0,0,Sleeping Dogs
12406.0,22,5.0,6072.21,0.023529411764705882,1,Loyal/Champions
12407.0,50,5.0,1507.12,0.0,1,Loyal/Champions
12408.0,33,8.0,3859.64,0.06172839506172839,1,Loyal/Champions
12409.0,79,7.0,23090.47,0.029411764705882353,1,Loyal/Champions
12410.0,301,3.0,761.46,0.05,0,Sleeping Dogs
12411.0,410,1.0,346.9,0.0,0,Sleeping Dogs
12412.0,75,6.0,2389.03,0.032,1,Loyal/Champions
12413.0,67,4.0,861.5,0.02040816326530612,0,Sleeping Dogs
12414.0,217,4.0,442.41,0.2413793103448276,0,Sleeping Dogs
12415.0,24,24.0,143107.02,0.06192893401015229,1,Loyal/Champions
12416.0,657,1.0,202.56,0.0,0,Sleeping Dogs
12417.0,3,20.0,5909.21,0.027624309392265192,1,Loyal/Champions
12418.0,113,4.0,2016.95,0.009708737864077669,0,Sleeping Dogs
12419.0,386,2.0,391.01,0.0,0,Sleeping Dogs
12420.0,64,1.0,600.39,0.0,0,Sleeping Dogs
12421.0,16,6.0,869.6,0.016666666666666666,1,Loyal/Champions
12422.0,96,12.0,3639.35,0.0,1,Loyal/Champions
12423.0,1,10.0,2291.19,0.00641025641025641,1,Loyal/Champions
12424.0,163,4.0,3289.7799999999997,0.05154639175257732,0,Sleeping Dogs
12425.0,78,2.0,1680.81,0.042105263157894736,0,Sleeping Dogs
12426.0,195,2.0,1167.41,0.0625,0,Sleeping Dogs
12427.0,12,3.0,831.87,0.0975609756097561,1,Loyal/Champions
12428.0,26,8.0,6366.0,0.017123287671232876,1,Loyal/Champions
12429.0,9,8.0,6929.51,0.0058823529411764705,1,Loyal/Champions
12430.0,43,1.0,216.4,0.0,0,Sleeping Dogs
12431.0,36,25.0,10389.41,0.01715686274509804,1,Loyal/Champions
12432.0,43,4.0,4359.32,0.0,1,Loyal/Champions
12433.0,1,10.0,20581.26,0.0,1,Loyal/Champions
12434.0,85,3.0,1062.48,0.05405405405405406,0,Sleeping Dogs
12435.0,80,6.0,13925.93,0.0,1,Loyal/Champions
12436.0,100,1.0,429.01,0.0,0,Sleeping Dogs
12437.0,2,38.0,11011.85,0.03290676416819013,1,Loyal/Champions
12438.0,14,2.0,2466.85,0.0,1,Loyal/Champions
