CustomerID,Recency,Frequency,Monetary,ReturnRate,Cluster,Segment,NetRevenueAll,RevenueSharePct,AvgPerCustomer,RiskHighlight,PriorityTier,FullScale
12346.0,326,12.0,368.3600000000006,0.0555555555555555,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 2,100
12347.0,2,8.0,5633.32,0.0,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 1 (Prioritas Utama),100
12348.0,75,5.0,1658.4,0.0,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 3,100
12349.0,19,3.0,3654.54,0.0282485875706214,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 2,100
12350.0,310,1.0,294.4,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 2,100
12351.0,375,1.0,300.93,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 2,100
12352.0,36,9.0,1609.21,0.0686274509803921,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 3,100
12353.0,204,2.0,406.76,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 2,100
12354.0,232,1.0,1079.4,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12355.0,214,2.0,947.61,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12356.0,23,6.0,5613.68,0.0,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 1 (Prioritas Utama),100
12357.0,33,2.0,17437.66,0.0,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 1 (Prioritas Utama),100
12358.0,2,5.0,3447.07,0.0,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 2,100
12359.0,8,10.0,8714.89,0.0266666666666666,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 1 (Prioritas Utama),100
12360.0,52,6.0,3612.89,0.0,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 2,100
12361.0,287,4.0,451.25,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 2,100
12362.0,3,10.0,4665.58,0.0303030303030303,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 1 (Prioritas Utama),100
12363.0,110,2.0,552.0,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 2,100
12364.0,8,4.0,1208.1,0.0,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 3,100
12365.0,291,1.0,320.69,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 2,100
12366.0,634,1.0,500.24,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 2,100
12367.0,4,1.0,150.9,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 3,100
12368.0,628,1.0,917.7,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12369.0,413,3.0,1511.15,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12370.0,51,7.0,3960.31,0.0,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 2,100
12371.0,60,4.0,3347.38,0.0,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 2,100
12372.0,72,3.0,1196.04,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12373.0,311,3.0,927.65,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12374.0,25,3.0,2669.22,0.0,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 2,100
12375.0,3,2.0,375.42,0.0625,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 3,100
12376.0,390,2.0,383.15,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 2,100
12377.0,315,4.0,3266.32,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12378.0,130,2.0,5416.32,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12379.0,82,4.0,1468.27,0.0128205128205128,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12380.0,22,8.0,7171.0,0.014760147601476,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 1 (Prioritas Utama),100
12381.0,5,3.0,1433.46,0.0465116279069767,1,Loyal/Champions,16714978.649999999,86.8,6293.27,Normal,Tier 3,100
12383.0,185,5.0,1617.31,0.0105263157894736,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12384.0,29,2.0,406.16,0.1071428571428571,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 2,100
12385.0,379,1.0,1668.4,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12386.0,338,2.0,660.8,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 1 (Prioritas Utama),100
12387.0,415,1.0,143.94,0.0,0,Sleeping Dogs,16714978.649999999,13.2,618.24,Normal,Tier 3,100
